word,freq
樊振东,6295
德甲,4321
德甲联赛,1043
俱乐部,770
比赛,744
发布会,731
加盟,702
视频,692
首秀,686
微博,647
乒乓球,628
回应,555
萨尔布吕肯,427
优酷,398
德国,332
首战,326
揭幕战,286
联赛,282
乒超,279
失利,270
今晚,251
客场,251
出席,245
争议,235
首次,229
亮相,225
一超话,214
乒颜,208
新闻,206
赛程,198
时间,180
球队,179
适应,174
代表,160
参加,153
体育,152
关注,151
出战,149
国家队,149
甲级联赛,148
发布,134
吴敬平,130
赛季,127
是否,125
欧洲,125
欧冠,121
加入,116
阶段,115
图片,114
中国,113
引发,113
第三轮,113
链接,113
预告,113
鲁伊斯,109
打球,107
网页,106
朱雨玲,105
队友,105
直播,102
谈樊振东,99
征战,98
赛事,98
需要,98
期待,96
为什么,94
观看,94
媒体,92
预约,90
上海,88
樊振,87
王楚,86
宣布,85
小红书,82
球迷,82
第三阶段,80
调整,80
笔记,79
坏事,76
并非,76
球员,76
决赛,75
地产,74
对手,74
待遇,74
表示,74
主帅,73
超话,73
奥运冠军,72
晚上,70
东首,69
凯迪拉克,69
国乒,68
赛场,68
状态,67
集团,67
乒协,66
对阵,66
经理,66
季前,65
德国杯,65
训练,65
未来,64
照片,64
解说,64
内容,63
看看,63
社交,63
舆论,63
第二阶段,62
加油,61
大家,61
教练,61
高度,61
中国国家队,60
一张,59
凤凰卫视,59
次日,59
不少,58
小胖,58
杜达,58
突然,58
好奇,57
锁定,56
首场,56
世界,55
北京,55
开始,54
相关,54
赛制,54
运动员,54
上工,53
慢慢,53
来说,53
冲突,52
面对面,50
乒乓,49
支持,49
确认,49
第二场,49
问题,49
知道,48
继续,48
选择,48
保护,47
总决赛,47
王皓,47
倪夏莲谈,46
弗朗西斯,46
如何,45
挑战,45
查看,45
此前,45
名人,44
国内,44
完整,44
采访,44
两个,43
参赛,43
来智,42
消息,42
进行,42
app,41
一起,41
来看,41
正文,41
确定,41
冠军,40
无缘,40
表现,40
隐私,40
下载,39
主场,39
几分,39
回归,39
宝宝,39
新疆,39
详情,39
赛后,39
wtt,38
决定,38
周六,38
应用,38
确实,38
立刻,38
乒坛,37
效力,37
柯尼希,37
热议,37
转发,37
一样,36
东东,36
全力,36
关键,36
原因,36
备战,36
点评,36
码住,36
第一,36
计划,36
XT5,35
不同,35
打法,35
欢迎,35
环境,35
迎来,35
选手,35
ttbl,34
出炉,34
发文,34
常规赛,34
现场,34
一场,33
东哥,33
为何,33
名单,33
基本,33
希望,33
斯霍芬,33
注册,33
纽汀克,33
中心,32
周日,32
超级,32
领衔,32
不想,31
乒羽,31
做好,31
兼顾,31
出发,31
国际,31
正常,31
波尔,31
人生,30
信息,30
哪个,30
外界,30
安排,30
开战,30
沟通,30
职业,30
贝塔,30
迈尔,30
酒店,30
后续,29
奥运会,29
时候,29
解放日报,29
许昕,29
首胜,29
上海市,28
互动,28
包含,28
咚咚,28
无法,28
最快,28
订婚,28
赛前,28
较量,28
退出,28
邱党,28
ttw,27
一次,27
两场,27
代言人,27
刘国梁,27
平台,27
战幕,27
揭开,27
知识,27
乒超后,26
去年,26
对于,26
收获,26
竞技,26
第一二,26
表达,26
不要,25
准备,25
即将,25
国家,25
坐等,25
安踏,25
战前,25
所在,25
施塔特,25
潇湘晨报,25
看到,25
眼前,25
祝福,25
第三,25
记者,25
质疑,25
起来,25
转播,25
还会,25
通过,25
门票,25
不敌,24
体育馆,24
官方,24
开赛,24
接受,24
男单,24
精彩,24
主动,23
发球,23
多特蒙德,23
巴特,23
巴黎,23
报道,23
方博,23
日至,23
根据,23
满贯,23
系列,23
观赛,23
诺伊,23
贝格,23
运动,23
专注,22
分析,22
创作,22
宣传,22
开门红,22
看起来,22
背后,22
重返,22
不过,21
全运会,21
品牌,21
意味着,21
核心,21
留洋,21
联系,21
胶原蛋白,21
融合,21
这里,21
重组,21
霉霉,21
不见不散,20
为了,20
公开,20
到底,20
好好,20
很多,20
得到,20
慢慢来,20
技术,20
最强,20
有些,20
有点,20
海报,20
球台,20
程靖,20
第四,20
认知,20
过程,20
这样,20
那么,20
一些,19
一分钟,19
一年,19
世排,19
事情,19
今日,19
八点,19
其他,19
分享,19
名将,19
孤身,19
强调,19
得知,19
恢复,19
接下来,19
改进,19
最终,19
琢磨,19
第二,19
美国,19
职业生涯,19
这是,19
部分,19
重要,19
上海队,18
专业,18
专访,18
乌鲁木齐,18
其实,18
厦门,18
孙颖莎,18
完全,18
当今,18
影响,18
明确,18
曝光,18
更好,18
最后,18
第一阶段,18
第二轮,18
综合,18
草率,18
观众,18
评价,18
遗憾,18
邀请,18
一件,17
举行,17
之后,17
作为,17
出现,17
喜欢,17
大满贯,17
女单,17
应该,17
感觉,17
热点,17
热爱,17
玉泽,17
篮球,17
能够,17
赛程表,17
输赢,17
这么,17
霍芬,17
首轮,17
高远,17
mark,16
主教练,16
之旅,16
了解,16
亲和度,16
全程,16
努力,16
包括,16
向鹏,16
哪里,16
国球,16
头条,16
巴特克,16
总结,16
昔日,16
最新,16
格斯,16
维度,16
解读,16
调查,16
一直,15
不用,15
保持,15
北京日报,15
变化,15
只有,15
回来,15
团队,15
安德烈,15
实力,15
当然,15
感谢,15
收看,15
本周,15
觉得,15
足球,15
输球,15
输给,15
达科,15
下一场,14
倪夏莲,14
具体,14
内斯库,14
冠军赛,14
压力,14
发展,14
周雨,14
场馆,14
官宣,14
山东,14
工艺,14
张继科,14
当地,14
成为,14
拿到,14
攻略,14
文章,14
明日,14
樊振东会,14
樊振东倩,14
正确,14
正韵,14
澳门,14
特异性,14
理解,14
由于,14
结束,14
能力,14
获得,14
落败,14
词林,14
面对,14
顺利,14
领导,14
风格,14
七点,13
下周,13
不负,13
世乒赛,13
两人,13
个人,13
倒计时,13
前往,13
双打,13
只是,13
商业,13
圆圆的,13
地方,13
备案号,13
完成,13
对战,13
尊重,13
意外,13
提升,13
方式,13
日晚,13
时刻,13
明晚,13
比分,13
汤布,13
泽利科,13
热身,13
焦点,13
特别,13
生活,13
真正,13
第一场,13
网友,13
评论,13
资格,13
输掉,13
音频,13
顾星宇,13
高喊,13
一切,12
不了,12
不好,12
两连败,12
主席,12
举办,12
事先,12
交手,12
以下,12
公布,12
内幕,12
勒布伦,12
单打,12
参与,12
发现,12
周恺,12
呼吁,12
和小红,12
多少,12
奥体中心,12
存在,12
开启,12
开售,12
得主,12
打乒乓球,12
故事,12
日报,12
晚八点,12
普通人,12
月底,12
来自,12
正式,12
水平,12
王励勤,12
直接,12
相信,12
粉丝,12
结果,12
缺席,12
胜利,12
节奏,12
莫雷,12
菲利普,12
豪森,12
起源于,12
距离,12
转会,12
迎战,12
透露,12
钱江,12
首位,12
马龙,12
一定,11
两战,11
主要,11
任务,11
关注度,11
出场,11
分钟,11
加德,11
合同,11
同样,11
哪些,11
国外,11
国际乒联,11
奥运,11
密集,11
差异,11
帮助,11
成功,11
战略,11
排名第,11
文化,11
梁靖,11
欧洲人,11
此役,11
氛围,11
热度,11
熊猫,11
熟悉,11
王安珍,11
王志,11
球衣,11
生涯,11
用球,11
登场,11
经验,11
规则,11
话题,11
这种,11
退役,11
阵容,11
雄安,11
魏桥,11
dyn,10
lfandomination,10
不足,10
世界排名,10
两连胜,10
互关,10
共同,10
决策,10
决胜盘,10
出来,10
吴敬,10
周年,10
哈贝松,10
困难,10
外国人,10
失误,10
对决,10
导致,10
小时,10
少林寺,10
开票,10
德语,10
心态,10
情况,10
想太多,10
意义,10
拥有,10
提供,10
提到,10
星光,10
机会,10
杜塞尔多夫,10
每天,10
沙特,10
称樊振东,10
竞技状态,10
联盟,10
肯定,10
西甲,10
规模,10
认为,10
身份,10
身体,10
这场,10
这次,10
选项,10
遇到,10
遭遇,10
队伍,10
顶尖,10
首个,10
gutentag,9
一单,9
一种,9
东儿,9
东方,9
主播,9
乒乓球赛,9
九点,9
人们,9
任何,9
传统,9
体验,9
作出,9
作战,9
倪妮,9
全新,9
公众,9
关心,9
动态,9
只战,9
只要,9
名字,9
后面,9
哥哥,9
场地,9
大赛,9
天前,9
头像,9
套盒,9
孩子,9
展现,9
巨星,9
平谈,9
广告位,9
当前,9
惜败,9
所有,9
新鲜事,9
更新,9
有人,9
来源,9
标识,9
每个,9
比较,9
没关系,9
海外,9
热血,9
独家,9
现阶段,9
球馆,9
甚至,9
生成,9
穆尔,9
签约,9
纠错,9
绝非,9
网球,9
萨尔,9
蓝色,9
虽然,9
进入,9
连胜,9
避免,9
饭圈,9
keep,8
xvii,8
一天,8
一队,8
万元,8
下半年,8
下榻,8
下次,8
个体,8
买倩,8
五局,8
依旧,8
免费,8
全力以赴,8
全国,8
准时,8
几乎,8
升级,8
单方面,8
博士,8
双方,8
发生,8
只能,8
合作,8
合成,8
周二,8
困扰,8
场次,8
央视,8
对抗,8
已获,8
帕特里克,8
康如,8
当下,8
待定,8
态度,8
惊喜,8
想法,8
想象,8
成绩,8
所有人,8
手感,8
找回,8
护理,8
报名,8
持续,8
搜索,8
敬请,8
整个,8
整理,8
方面,8
日本,8
是不是,8
有输有赢,8
朋友,8
本质,8
本赛季,8
此次,8
毕竟,8
治疗,8
流量,8
深入,8
深刻,8
点球,8
爱好者,8
版权,8
男团,8
看见,8
突破,8
第一次,8
第一盘,8
第三场,8
简单,8
累计,8
考量,8
观点,8
记得,8
谢谢,8
迎接挑战,8
长文,8
长期,8
问及,8
集中,8
需求,8
预热,8
首先,8
Z0108283250413001,7
live,7
nigshofen,7
三个,7
不太,7
不莱梅,7
专区,7
世锦赛,7
东海,7
丹尼尔,7
主力,7
争取,7
事件,7
休息,7
优惠,7
倩碧官,7
入场,7
关于,7
写道,7
冠军联赛,7
冲击,7
出樊振,7
区别,7
南方,7
印象,7
原来,7
双线,7
可怕,7
各自,7
周一,7
周五,7
培养,7
基地,7
夸张,7
如下,7
官博,7
官博晒,7
实施,7
实时,7
小弗,7
小饼,7
尽管,7
工作,7
常用,7
张本,7
徐瑛彬,7
怎么样,7
感受,7
懂球,7
战胜,7
才能,7
指出,7
振东,7
描述,7
握手礼,7
播放,7
教练组,7
晋级,7
本来,7
樊振东于,7
渴望,7
满足,7
澎湃,7
激情,7
爱德华,7
王安珍行,7
目标,7
直播间,7
瞬间,7
积分,7
等待,7
签证,7
精选,7
系统,7
经历,7
结构,7
罗曼,7
美好,7
胜负,7
自我,7
视角,7
证明,7
象征性,7
财力,7
这句,7
通常,7
通票,7
那样,7
重心,7
重新,7
重点,7
锐歌,7
闫安说,7
队服,7
除了,7
顶级,7
项目,7
预计,7
香子,7
66c53d495417,6
Z0108283250913001,6
cken,6
一事,6
一位,6
一切顺利,6
上场,6
上次,6
下个,6
下午,6
下来,6
世界杯,6
东西,6
中文,6
之前,6
之间,6
乒乓球台,6
以往,6
会员,6
传闻,6
住持,6
体系,6
例如,6
允许,6
全面,6
其中,6
再次,6
几个,6
凸显,6
出国,6
前国,6
办法,6
功勋,6
南京,6
发挥,6
发酵,6
合影,6
同行者,6
告负,6
售罄,6
商业化,6
商务,6
回复,6
回放,6
回答,6
基础,6
声音,6
处理,6
多哈,6
天下,6
夺得,6
学习,6
官网,6
定律,6
实现,6
对话,6
小樊,6
小熊猫,6
少年,6
局间,6
巴鲁,6
带个,6
延至,6
开博,6
开打,6
当时,6
影响力,6
很大,6
德媒,6
思考,6
悬念,6
战术,6
战绩,6
打出,6
据悉,6
排名,6
提前,6
摆摊,6
新华社,6
新规,6
既然,6
暴露,6
最佳,6
最好,6
月份,6
本人,6
本身,6
杯赛,6
梳理,6
毛巾,6
江苏,6
河北,6
洛杉矶,6
活动,6
清晰,6
清楚,6
澳门站,6
点击,6
燥候,6
爆冷,6
玲珑,6
理性,6
用户,6
瞬息万变,6
积累,6
窗口,6
答案,6
米诺,6
红书,6
红色,6
美白,6
考验,6
而已,6
而是,6
而言,6
职业联赛,6
聚焦,6
至于,6
表态,6
要求,6
讨论,6
详细,6
超前,6
足球场,6
路过,6
身边,6
过后,6
近期,6
适用,6
逐渐,6
重申,6
防晒,6
阿宝,6
高强度,6
高清,6
lfeelingling,5
lttbl,5
一周,5
一步,5
一线,5
三局,5
上优,5
上班,5
不到,5
世界冠军,5
两位,5
两局,5
中场,5
临时,5
乌龙茶,5
乒丝,5
也许,5
二人,5
云达,5
人员,5
今年,5
代言,5
代谢,5
以后,5
估计,5
似乎,5
位置,5
体制,5
体坛,5
何时,5
余嘉豪,5
使用,5
保障,5
值得,5
健康,5
全场,5
全球化,5
八一,5
关系,5
再度,5
出去,5
出赛,5
利益,5
力量型,5
助力,5
单场,5
单场票,5
历史,5
原文,5
取决于,5
只身,5
各种,5
吸取教训,5
周雨谈,5
哪位,5
商业价值,5
喝水,5
四个,5
回到,5
场边,5
城市,5
处于,5
大疱性,5
天地,5
天气,5
夺冠,5
奇克,5
好像,5
实际,5
宣倩,5
展望,5
帽子,5
延长,5
开局,5
开幕,5
当打,5
往返,5
心里,5
必须,5
快节奏,5
想要,5
意愿,5
感到,5
成员,5
成长,5
或许,5
所说,5
手机,5
扶持,5
投资,5
抵达,5
探讨,5
接发球,5
提取,5
提问,5
揭示,5
操作,5
效应,5
新区,5
方向,5
施雷尔,5
日期,5
日默瓦,5
明星,5
明白,5
昨晚,5
暂停,5
有没有,5
期间,5
权威,5
条件,5
来到,5
松解,5
根本,5
格局,5
梅莹,5
检验,5
每次,5
气氛,5
水解,5
法师,5
法网,5
流动性,5
海露,5
消费,5
涨球,5
深圳大学,5
深意,5
激战,5
点半,5
点见,5
燃烧室,5
猜测,5
王曼昱,5
现代,5
男队,5
直言,5
相持,5
看法,5
看过,5
矛盾,5
研究,5
确保,5
科普,5
突发,5
符合,5
第二盘,5
紧张,5
红薯,5
细分,5
细胞株,5
给予,5
绝对,5
老师,5
胖胖,5
自小,5
英文,5
茫然,5
荔枝,5
药物,5
蜉蝣,5
补充,5
补货,5
表皮,5
观察,5
解释,5
说法,5
谈及,5
责任,5
资源,5
走过,5
超人,5
超高,5
跳板,5
转播权,5
迅速,5
过往,5
过来,5
这一,5
这位,5
送来,5
选购,5
速度,5
都市报,5
错过,5
问问,5
队长,5
陌生,5
雨果,5
面临,5
预期,5
首秀中,5
马住,5
Wook0804,4
ctta,4
fan,4
hylosport,4
mltt,4
tsvbadk,4
usmile,4
vplus,4
wok,4
一分,4
一只,4
一大,4
一点,4
一遍,4
七成,4
三项,4
上午,4
上演,4
上线,4
不如,4
不怕,4
不止,4
不管,4
不错,4
东来,4
两件事,4
中国乒乓球队,4
为主,4
丽心,4
之一,4
乒颜一,4
乱象,4
事使,4
产品,4
人工智能,4
以上,4
价值,4
优势,4
会上,4
传播,4
体圈,4
体育中心,4
何用,4
佛教协会,4
你好,4
依据,4
依约,4
倪夏莲聊,4
做出,4
偶然,4
像是,4
充满,4
先农坛,4
全部,4
公式,4
六号,4
再见,4
决胜局,4
几道,4
出击,4
出征,4
出行,4
分为,4
分布,4
分散,4
刚刚,4
利勃,4
制度,4
劲旅,4
包小包,4
匹配,4
单篇,4
印乐,4
印证,4
即便,4
反超,4
发出,4
发售,4
发声,4
发言,4
取关,4
变多强,4
各国,4
吊桥,4
同事,4
向东,4
听听,4
听说,4
启动,4
告别,4
告诉,4
周末,4
咱们,4
唯一,4
喊出来,4
喊话,4
嘟嘟,4
回顾,4
团体赛,4
团子,4
国乒超话,4
地点,4
场上,4
坦坦,4
增设,4
声浪,4
复盘,4
外卖,4
外援,4
多于,4
多方,4
大使,4
天赋,4
太近,4
失败,4
奥克,4
女排,4
如今,4
如此,4
委员,4
安保,4
安慰,4
官宣樊振东,4
富尔达,4
对方,4
对此,4
将视,4
小孩,4
小小,4
小峰,4
小鱼,4
尚坤,4
尚未,4
尽快,4
展开,4
巴西,4
幕后,4
干扰,4
平衡,4
年乒超,4
应对,4
底蕴,4
建立,4
开放,4
强大,4
征程,4
很难,4
德乒甲,4
心情,4
忠诚度,4
快乐,4
快报,4
怎样,4
成都,4
我会,4
我要,4
房间,4
才刚,4
扩散,4
找到,4
承诺,4
抗压,4
拍摄,4
拭目以待,4
按照,4
挚友,4
挥手,4
挽歌,4
推动,4
提醒,4
提高,4
搭档,4
改变,4
数据,4
斯威夫特,4
斯巴赫,4
斯霍芬队,4
新增,4
新生代,4
无从,4
无敌,4
日来,4
时代,4
时光,4
时政,4
是因为,4
普鲁士,4
更大,4
最懂球,4
最热,4
有何,4
有助于,4
有效,4
未公开,4
未必,4
朱小勇,4
权衡,4
条款,4
来小红书,4
来得,4
来来来,4
林诗栋,4
样子,4
格伦措,4
格林,4
樊振东国,4
樊振东官,4
樊星,4
次局,4
正东,4
正如,4
残留,4
每场,4
永远,4
没事,4
注意,4
泰勒,4
洪堡,4
海尔,4
涉及,4
深度,4
温泉,4
热盼,4
爷孙,4
物料,4
特点,4
王涛,4
现役,4
珍咚,4
生产,4
电台,4
电话,4
目的,4
看台,4
离开,4
笑容,4
等等,4
米尔豪,4
系统性,4
索林,4
约定,4
纯享,4
纯粹,4
纳迪,4
纷纷,4
细节,4
经济,4
给出,4
罚款,4
聊聊,4
背景,4
能否,4
自动,4
舆论压力,4
芬芳,4
莫汉,4
蛋白,4
蜜蜂,4
衣服,4
补漏,4
西班牙,4
见识,4
规定,4
诗栋,4
说一说,4
说明,4
谴责,4
负责,4
资本,4
赛况,4
路子,4
身心健康,4
身着,4
转载,4
辜负,4
达人,4
过去,4
迎接,4
运作,4
近距离,4
这件,4
这条,4
逐步,4
遭受,4
邮政,4
重生,4
锻炼,4
镜头,4
阅读,4
陈熠,4
隐藏,4
难以,4
难以想象,4
需以,4
青笙,4
非常规,4
韦特,4
页面,4
风入松,4
风险,4
首局,4
首度,4
首批,4
马贝策,4
验证,4
黄石,4
Lzezeqiqi77,3
bergneustadt,3
cut,3
deb,3
instagram,3
mlb,3
qaq,3
rimowa,3
shakehands,3
sportai,3
tbbl,3
tischtennis,3
xt5,3
一个个,3
一个月,3
一人,3
一如既往,3
一把,3
一条,3
一段时间,3
一缕,3
一部分,3
万名,3
三场,3
三点,3
上升,3
上涨,3
上赛季,3
下场比赛,3
下滑,3
不可或缺,3
不断,3
不知,3
专业人士,3
专用,3
专程,3
两分,3
两天,3
两盘,3
两者,3
严格,3
中国队,3
中均,3
中要,3
之所以,3
乌萨咚,3
乐观,3
乒乓球队,3
九月,3
也好,3
习惯,3
二郎神,3
五个,3
交流,3
产生,3
享受,3
人去,3
人家,3
人数,3
人民日报,3
亿缕,3
介绍,3
仍以,3
从不,3
从中,3
从来不,3
从而,3
仓促,3
以外,3
优质,3
伤害,3
低温,3
体会,3
体现,3
体育局,3
体能,3
佛教,3
侃球,3
保密,3
修正,3
假期,3
元宝,3
兄弟,3
先后,3
先进,3
先锋,3
全民,3
全职,3
全胜,3
八强,3
八月,3
兰溪,3
共勉,3
关联,3
关键点,3
其次,3
典型,3
内部,3
几年,3
分别,3
分步,3
分离,3
分配,3
创享,3
创作者,3
创新,3
利用,3
别忘了,3
刷新,3
前提,3
动力,3
努伊廷克,3
勇气,3
包袱,3
半决赛,3
卡比,3
卫冕冠军,3
原本,3
友善,3
友好,3
双螺旋,3
反对,3
取得,3
取胜,3
另外,3
只会,3
各方,3
各项,3
同框,3
同款,3
周刊,3
周边,3
回合,3
回国,3
固液,3
国籍,3
国考,3
图频,3
圈内,3
在线,3
地区,3
地去,3
地址,3
垃圾,3
基本上,3
增加,3
外协,3
外国,3
多久,3
多地,3
多多,3
多次,3
大使馆,3
